corpus,model,macro_f1_mean,macro_f1_std_across_seeds
essays,bigru,0.6441968214076746,0.010004365388845448
essays,bilstm,0.6635019883974075,0.028120200998338174
essays,charcnn,0.4492511556925021,0.019049465988539946
fiction,bigru,0.4272017797017797,0.004204890860676726
fiction,bilstm,0.3304407166907167,0.02029816839220377
fiction,charcnn,0.25113894094286254,0.021665397657633586
