method,honest_macroF1,ci95,leaky_macroF1,leakage_gap
frozen MuRIL,0.6104,"[0.592, 0.628]",0.9809,0.3705
frozen MuRIL-large,0.6016,"[0.584, 0.619]",0.9834,0.3818
char 4-6,0.5839,"[0.569, 0.599]",0.9985,0.4146
char 2-4,0.5723,"[0.559, 0.585]",0.9971,0.4247
char 3-5,0.5707,"[0.557, 0.584]",0.9971,0.4264
frozen mBERT,0.5274,"[0.511, 0.547]",0.8835,0.3562
word 1-gram,0.5162,"[0.498, 0.533]",0.9939,0.4777
func-word top200,0.3861,"[0.369, 0.404]",0.7471,0.361
